c	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Bien	Tipo de Implicado (1)	Tipo de Implicado	Víctimas Fatales	Lesionados	Fuente																	
21	6	1988	Norte de Santander	San Calixto		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
21	6	1988	Santander	Cerrito		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
22	6	1988	Santander			Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
28	6	1988	Norte de Santander	El Tarra	Corregimiento Orú	Sabotaje	Infraestructura Energética (Oleoducto)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
28	6	1988	Sucre	Corozal		Sabotaje	Infraestructura Energética (Oleoducto)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
29	6	1988	Risaralda	Guática		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-EPL	1	4	Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 70																	
2	7	1988	Cauca	El Tambo		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-M-19			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 34																	
6	7	1988	Santander	Barrancabermeja	Corregimiento El Llanito	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 34																	
6	7	1988	Santander			Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 34																	
8	7	1988	Distrito Capital	Bogotá D.C.		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 34																	
8	7	1988	Santander			Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 34																	
20	7	1988	Cesar	Pelaya		Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 35																	
20	7	1988	Santander	San Vicente de Chucurí	IPD  Yarima	Masacre	Vivienda	Grupos Paramilitares	Grupos Paramilitares			Boletín Justicia y Paz Vol. 1 No 3 Pp. 19 Enterrar y Callar Vol. 2 Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano																	
27	7	1988	Cauca	Popayán		Ataque a Organizaciones	Sede Sindical	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 35																	
27	7	1988	Atlántico	Barranquilla		Ataque a Propiedad	Infraestructura Empresarial	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 35																	
8	8	1988	Antioquia	Caucasia		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 58																	
14	8	1988	Córdoba	Montería		Ataque a Propiedad	Propiedad Rural	Guerrilla	Guerrilla-EPL	 		Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 58																	
30	8	1988	Córdoba	Canalete		Masacre	Propiedad Rural-Mercancías u objetos materiales	Grupos Paramilitares	Grupos Paramilitares			Boletín Justicia y Paz Vol. 1 No 3 Pp. 41 Caso Tipo Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003 Enterrar y Callar. Vol. 2 Pp. 128																	
4	9	1988	Antioquia	Medellín		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-FARC y ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 78																	
6	9	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 78																	
22	9	1988	Caquetá	Florencia		Ataque a Organizaciones	Sede de Partido Político	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 79																	
25	9	1988	Antioquia	Cañasgordas	Vereda Rubicón	Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 79																	
28	9	1988	Distrito Capital	Bogotá D.C.	Cabecera Municipal	Atentado		Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Julio-Septiembre 1988. Volumen 1, N°.3. Pp. 80																	
1	10	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 39																	
4	10	1988	Antioquia	Medellín	Cabecera Municipal	Ataque a Instituciones	Entidades Públicas	Guerrilla	Milicias Populares			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 39																	
7	10	1988	Santander			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 40																	
9	10	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 40																	
9	10	1988	Huila			Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN	1	4	Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 40																	
19	10	1988	Norte de Santander			Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 41																	
24	10	1988	Distrito Capital	Bogotá D.C.		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla No Identificada			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 41																	
26	10	1988	Atlántico	Malambo		Ataque a Propiedad	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado	1		Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Valle del Cauca	Cali	Cabecera Municipal	Atentado	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Cesar			Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Santander	Bucaramanga		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla No Identificada	 		Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Santander	Girón		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Antioquia			Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Nariño	Pasto		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
26	10	1988	Putumayo	Orito		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-EPL			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Atlántico	Barranquilla		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Atlántico	Barranquilla		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Caldas	Anserma		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Caldas	Riosucio		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Cauca	Rosas		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Córdoba	Buenavista		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Huila		Vía a Neiva	Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Santander	Barrancabermeja		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Sucre	San Onofre		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Antioquia	Valdivia	Corregimiento Puerto Valdivia	Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Atlántico	Sabanalarga		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Cauca	Buenos Aires	Corregimiento La Balsa	Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Santander	San Vicente de Chucurí		Sabotaje	Infraestructura Víal	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
27	10	1988	Santander			Sabotaje	Infraestructura Víal	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42																	
28	10	1988	Cesar			Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 43																	
