Día	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Implicado (2)	Nº Víctimas	Combatiente	Población Civil	Fuente																									
24	11	1991	Cundinamarca 	Medina	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 71																									
24	11	1991	Antioquia	Yondo		Combate	Ejército Nacional-FARC	3	2	1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 72																									
4	12	1991	Antioquia	Copacabana		Ataque a Objetivo Militar	Grupo Armado No Identificado	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 98																									
21	12	1991	Cauca	Argelia	Cabecera Municipal	Incursión	Guerrilla-FARC	1	 	1	Boletin Justicia y Paz Vol. 4 No 3 Pp. 109																									
25	12	1991	Nariño	Mallama	Cabecera Municipal	Incursión	Guerrilla-FARC	7	6	1	Boletin Justicia y Paz Vol. 4 No 3. Pp. 109																									
30	12	1991	Boyacá	Chita	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 101																									
4	1	1992	Cesar	San Alberto	Cabecera Municipal	Incursión	Guerrilla-CGSB	4	3	1	Boletín Justicia y Paz Vol. 5 No 1 Pp. 25																									
12	2	1992	Santander	San Vicente de Chucurí	Cabecera Municipal - Barrio Jaime Ramírez	Ataque a Objetivo Militar	Guerrilla-ELN	3	1	2	Boletin Informativo Justicia y Paz. Volumen 5, No 1. Enero- Marzo 1992. Pp 55																									
14	2	1992	Cundinamarca	Gutierrez	Vereda Rio Blanco	Bombardeo	Ejército Nacional	5		5	Boletin Informativo Justicia y Paz. Volumen 5, No 1. Enero- Marzo 1992. Pp 56																									
14	2	1992	Cundinamarca	Gutierrez		Bombardeo	Ejército Nacional	6		6	Boletín Justicia y Paz Vol. 5 No 1 Pp. 56  																									
19	2	1992	Antioquia	Yali	Cabecera Municipal  	Incursión	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 1. Enero- Marzo 1992. Pp 56																									
28	2	1992	Guaviare	Miraflores	Cabecera Municipal	Incursión	Guerrilla-FARC	2		2	Boletín Justicia y Paz Vol. 5 No 1 Pp. 64																									
16	3	1992	Meta	San Carlos de Guaroa	Cabecera Municipal	Incursión	Guerrilla-FARC	3	2	1	Boletín Justicia y Paz Vol. 5 No 1 Pp. 85																									
19	3	1992	Cauca	Patia (El Bordo)	Zona Rural	Combate	Ejército Nacional-ELN	5	3	2	Boletin Informativo Justicia y Paz. Volumen 5, No 1. Enero- Marzo 1992. Pp 86																									
26	3	1992	Santander	Bolívar		Combate	Policía Nacional-FARC	3	2	1	Boletin Informativo Justicia y Paz. Volumen 5, No 1.  Enero- Marzo 1992. Pp 87																									
8	4	1992	Antioquia	Segovia	Sitio La Montanita	Ataque a Objetivo Militar	Guerrilla-CGSB	6	1	5	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 29																									
13	4	1992	Norte de Santander	Sardinata	Vía Sardinata  Ocana	Combate	Policía Nacional-ELN	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 30																									
19	4	1992	Meta	Puerto Lleras	Cabecera Municipal	Incursión	Guerrilla-FARC	2		2	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 31																									
6	5	1992	Antioquia	Tarso 		Combate	Policía Nacional-ELN	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 65																									
9	5	1992	César	Aguachica		Combate	Policía Nacional-CGSB	2	1	1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 65																									
14	5	1992	Meta	La Uribe	Sitio "Pedro Toro"	Combate	Ejército Nacional-FARC	1	 	1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 66																									
15	5	1992	Santander	San Gil	Vía Bogota Bucaramanga	Combate	Policía Nacional-ELN	6	5	1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 66																									
21	5	1992	Tolima	Purificación		Ataque a Objetivo Militar	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 67																									
24	5	1992	Antioquia	Dabeiba	Sitio la Llorona	Combate	Ejército Nacional-FARC	19	18	1	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 68																									
